Emotion,Text
Anger,Sly was left feeling absolutely livid . 
Surprise,Iemand nog Surprise idee voor een vrouw? 
Disgust,"@wt2themax1 I'm sorry my blanket isn't comfortable enough for you, that kid isn't #hehasfeelingstoo so what if he eats his scabs..."
Anger,I had left a student newspaper of the Chinese university on the table of the library.  It had disappeared when I came back.
Joy,"At a choral concert I appeared as a solist. The concert5 was very good, I forgot all the hard work that had been done before. There remained only an undescribable Joy and a feeling of warmth, security etc."
Fear,@TShavonne Girl a picture of that book is in my Twitter pics lol. Nah i haven't used it...or rather tried it lol 
Surprise,The trouble comes when you realise you've gone from watching reruns to living one. #oh
Sadness,"He glanced up , saw Auguste 's anguished eyes , and thought he understood . "
Joy,The world can't give you only Joy. One last a lot longer. #GoFigure
Anger,He dipped the cotton wool in the water and dabbed at the livid puffy eyes . 
Sadness,"` I am sad we have not been afforded the same welcome given to the Beirut hostages , "" he told a deeply moved audience at the AGM last month . "
Joy,Oh early morning preachings by my father 
Joy,If you are robbed of during tribulation it is because u hav not entered into the means He has provided for Joy #prayer Communion w God
Surprise,@Ally1kinobi thought I'd stop by and say I CAN SPEND CHRISTMAS HOLIDAYS WITH YOU NOW AT THE LAKE. Miss you! 
Joy,"Good morning , Jim ! "
Fear,Not afraid of tomorrow for I saw yesterday and I love today #less
Anger, They soud like the neighbours from hell ! 
Joy,If chris Paul sum how goes to the clippers. Idk I'll lose it 
Surprise,chocomousse vergt 175 ml slagroom. dat heb ik dus niet in huis - en je moet het met de hand kloppen. niet met een mixer. kansloos.
Sadness,"The time I lost a badminton match, that I should have won at the Zambia closed badminton championships."
Joy,"The advertisements appeared in Novoye Russkoye at the weekend , causing a buzz of excitement in the Soviet expatriate enclave of Brighton Beach , also known as Little Odessa . "
Fear,My and #anxiety is lifted. I think I'm going to pass #statistics and maybe even do half decent. Got a 90% on the third #exam
Joy,Thrilled to reunite with my best friend today! It's raining though and we have to find our way to a theater for a dance show downtown. 
Sadness," Not from this brand , I'm afraid . "
Fear,I can not wait till factor I LOVE THAT SHOW!!!!!! Missed watching it :-)
Joy,"Study all day tomorrow, most of the day Saturday and Sunday. "
Neutral, So ? 
Sadness,Just saw an empty Summer Shandy box next to my Aunt's fridge. But no Liene to be found 
Fear,Nearly a year later I'm driving on freeways at rush hour without any Fear!!!  I conquered my with #confidence! Feels great!
Sadness,"Her voice shook , her face was white with anguish . "
Sadness,"going loner to target, panache and hob lob..."
Joy,"This would normally push up her heart rate but with her pulse already racing due to the alcohol , dancing and general party excitement the increase is not as noticeable as normal . "
Anger,"His teachers were suspicious of his popularity , annoyed by his lack of interest in academic work and infuriated that he could still achieve high marks in examinations . "
Anger,"When they broke the artistic work of several weeks.  Changes were made and it was broken without permission, they had no right to do this."
Surprise,Net halfuur bezig geweest bij de kraan om de lijm erg te krijgen  #Dinnetjes
Joy,"Took a nap for a few hours, now watching Christmas movies  "
Sadness,"For the owner , it can mean heartbreak at the loss of a family pet . "
Fear,"Tiens, y a de la taurine dans les croquettes Friskies chat d'intérieur. #miaou"
Anger, It is impossible . You cheated on me . 
Sadness,"No afternoon nap for me, burning my episodes into DVD to prepare for Stu the Hard Drive's reformat. :("
Joy,ill be working from 9pm-6am on black Friday 
Neutral, Nothing . 
Fear,I was at home and we were sleeping when we heard some robbers breaking into our house.
Sadness,@MWScripts WANT ENGLISH BULLDOG PUPPY.   
Anger,I will be the most disappointed if they actually consider Taylor Swift for the role of Eponine in the movie version of Les Mis.... 
Joy,@sabambury I wish everyone saw Church as a highlight of Christmas! 
Disgust,"It linked the poor performance with the exodus to the West of more than 330,000 East Germans disgruntled with Communism . "
Sadness,In an expression of community sympathy many local children in South Ronaldsay made and sent cards to the four devastated mothers . 
Sadness,3:30am my guy friend was gonna come up to my window. and I fell asleep  before he came. :( 
Sadness,"2   &amp; = make pleasant, wonderful #memories right now! &#xA;#recovery #survivors #stopabuse #ptsd #livefree"
Joy,"Some people bring Joy wherever they go, and some people bring Joy whenever they go.— Mark Twain   "
Joy,yaay! my brother said he'll play badminton with me tomorrow :D 
Neutral,You'd better prepare for the examination . 
Joy,Going to a concert.
Fear,"There was public disquiet , questions in the Commons and an enquiry ordered into Jeffrey 's whereabouts . "
Anger,"I was informed by my flatmate that, when we'd moved into our flat, she'd expected us to buy our food separetely - this event actually happened some 5 months after our sharing began. Prior to this, she had said nothing."
Fear,"«@RevRunWisdom not afraid of tomorrow, for I have seen yesterday and I love today #less»"
Anger,"Don't get the impression that you arouse my Anger. You see, one can only be Anger with those he respects. ~Richard M. Nixon "
Joy," We do many things . In the morning , we go swimming and boating . In the afternoon , we play basketball or tennis . We sit around a camp fire at night.We sing or tell stories . "
Joy,Arabic coffee what can I do to make you happy. 
Fear,"I feel afraid of the way a great friend looks at me, and also a little afraid of the directions that it's going."
Surprise,"Met z'n 4en Sint gekeken, nu lekker slapen, en morgen Surprise weggeven en ontvangen in Lopik!   "
Joy,Morning tweeps.. Hope you guys have a great filled with and #happyness
Joy,When I received the first year results as the first year had involved a lot of work and I was very pleased when I got the results.
Sadness,Just got back from my last history class until next semestre. 
Surprise,"&quot;I'm gonna love you, Till the stars fall from the sky for you and I&quot;  "
Anger,"A terrible , furious , impotent Anger filled him , making him want to strike out , to shout and scream . "
Sadness,Another day spent in my bed. I really should get a life. 
Fear,Concered my of hights today! Went all the way to the top of climbing! Sooo proud and beat enrique on quad biking!:D love my girls x
Anger,When I was a soldier I quarrelled with my commander and may be in revenge for this he detailed me on duty two successive nights. Naturally he checked me up on the second night and found me asleep for which he sent me to the cells.
Surprise,Getting ready for a baby shower at work. Here's hoping no one at work is following me on twitter hahaha Surprise!!
Neutral, Not really ! 
Joy,Lady A concert with @KDClapp06 by some sketchy people. 
Neutral, To the beach 
Sadness,I want you and Sheila to know how very much I appreciate the kindness shown to me in my earlier mood of despondency . 
Neutral, Everyone from school . 
Anger," No , I just check my weight , I'm getting fatter . "
Fear,Dnt believe the lies look me in my eyes plz dnt b scared of me..  i miss the deep #Drake
Joy,When I passed my form three exams.
Anger,I laughed -- I did n't feel offended . 
Joy,"my throat is on fire.. guess i'll be going to the doctor tomorrow. in other news, tonight was a successful night(: praise God !"
Neutral," Yes , there are something good and informative . I think that many people underestimate the value of TV in education . "
Fear,"is strong. #Darkness is strong. A #Soul is a pure bright, brave beam of light."
Fear," Steven , I ... "
Joy,On meeting an old friend of mine.
Joy,"No matter how old i am, anytime i have a leaf blower i will air blast the closest person to me. Brings me "
Fear,@MarkParkinson80 now that man is a proper genius 
Fear,When I thought that I had failed the examination.
Surprise,Even though I'm mean af to this person I'm still buying them something.... I guess I should them
Joy,Since I passed the DMCT last year I get to spend my math hour doing absolutely nothing in the library.. 
Sadness,"When I became conscious that men don't wnat anything they don't have a goal. They have: sex, but this isn't important."
Surprise,@nickensimontwit Hoe kan je gemakkelijk een gitaar namaken van karton? 
Joy," Well , it's a special day . They say if you survive the first year , the rest is smooth sailing . "
Surprise,My aunt is coming from  for a visit during   What a nice that will be!!
Sadness,They all seem terribly sad . 
Sadness,"During the days that followed Brackenbury 's hasty departure , Edward 's despondency increased . "
Surprise,"@TheyCallMeTiny2 ransacked meadows/brewhouse last night for all it was worth,  opened up the wallet though, "
Anger,My father promised me a bicycle for my birthday. Just before my birthday he forgot he promised this to me.
Anger,Auguste shot him an indignant glance . 
Fear,of losing my spark haunts me everyday
Anger,"I worked with several classmates on a project.  I was very anxious about the project while my partners showed no concern  and when we had meetings on the project my classmates  did not pay any attention.  Some of them read books while the others argued on irrelevant questions.  The meeting would go on for two hours without the main theme being discussed.  We wasted time and could not reach a compromise.  My classmates avoided doing the work and the responsibilities, they seemed to value other projects more than this one."
Fear,F.E.A.R. = False Evidence Appearing Real   
Joy,When my son returned from mountaineering - healthy in body and soul.
Fear,water level rising near my home  #Flooding
Joy,On my way to clean the mess that was made at Urban today. 
Anger,When my kid brother broke my reading spectacles.
Anger," Really , Mary , you ’ re horrible . "
Fear,When I close my eyes I wont wake up! !  #truth
Neutral,What ’ s up ? You don ’ t look too good . 
Disgust,ewww she got that nasty ass default like she cute 
Joy,So now I am doomed to forget something. I just have that shitty luck. 
Fear,"america is the new north korea, china, germany and russia. we're the military controlled, self-spying, censoring paranoid antagonists. "
Sadness,Then the toot of a trumpet and the clown with the enormous sorrowful eyes was coming at her in her ring-side seat and she wanted to run away . 
Joy,More lifeguard training tomorrow evening. 
Sadness,When an earlier friend was spreading negative rumours about me.
Anger,The newcomers feel cold-shouldered by the local population on occasions and become resentful of their almost tribal clannishness . 
Disgust,I understand the mood but if some of them are disgruntled they are entitled to call an EGM . 
Joy," Seein' folks,  overcome limitations, by seeing that THEY can be who they DREAM! That their capacity for is the compass!"
Joy,my birthday and christmas are right around the corner and i have no idea what i want 
Sadness,Its funny how people who follow you eventually unfollow you only because you never followed them back. 
Surprise,aww one of my mom's old special ed students from like 6 years ago came and visited her!! soo cute! that just made her day :)
Sadness,"` I used to be sad and pathetic , but I 'm not so miserable any more . "
Joy,Bought my first xmas gifts today!! So full of I love christmas time!!
Anger,"` What did you mean , Rachel ? "" her mother asked slowly , ignoring her husband 's indignant look . "
Joy,"As I type, I get texts... baby is fine (moving &amp; heart beating) Since she is O-, they've given a RH shot, to be safe. THE BABY IS FINE! "
Joy,thanksgiving: spending the night at the emegency room. 
Surprise,@k_tray so your harry potter dressed professor hates sex... 
Sadness,my mom asked me if cole caught a deer this year... mom you kill deer...
Joy,Today has been so off. Time to work in crutches tomorrow 
Joy,(MIRACLE SCRIPTURE 700 B.C.) Behold the virgin shall conceive &amp; bear a Son &amp; shall call His name Immanuel  Is. 7:14     
Fear, Talks Going Well? Most Pissed Off with  Play Acting and Playing DAngerous Games #FLASHMEN? #skynews #skypapers
Fear,"One morning of hard graft left, then 8 days of sun, food and bevy. just need to get through the plane journey, scary shit that like. "
Anger,When I saw my brother being attacked and I could not do anything.
Fear,"He 's concerned what will happen to me . "" "
Sadness,I'm so happy  @Harley_Cope5 never says she's thankful for me to be one of her best friends. 
Sadness,When he wondered this he felt a deep Sadness . 
Fear,"Good day at the gym, bringin that  and that  but leavin that "
Joy,@Mrctn615 we wear the crown cuz we deserve it! 
Sadness,Andare a fare shopping e tornare a mani vuote a casa... 
Neutral," Don't be so irritable . I just don't understand the program , that's all . "
Joy,"On holiday, seeing the lanscape in Girona."
Anger,Pretty sure Kiss only ever play about 3 different songs. And they're TGIF remix pisses me off. And they say 'Gwetta' and 'Agwilera'. 
Joy,Minute shards of glass slashed across Rohmer 's ecstatic face . 
Disgust,&quot;was that a period poop? it definitely smelled like a period poop&quot; #ihatemyfamily
Anger, Waiter ! 
Fear,Intelligence puts man on the throne. Faith puts God there.     
Joy,Getting a part-time job.
Anger," I believe that was a wedding present to both of us , Joanne . And you hardly ever use it ! "
Anger,Nothing would satisfy me more then to see the light leave his eyes and to know he no longer draws breath 
Anger,"Hoskyns , who only had another year to live , was Anger at his university . "
Surprise,"@mylan4 ik wou jou heel persoonlijk benoemen, dus die is nog in de maak! #Present #wachtmer"
Fear,of losing the people I love
Fear,The passengers looked horrified . 
Joy,Is it just me or does anyone else out there love the smell of their fella post  
Joy,About to bomb this physics test 
Joy,good morning world! 
Sadness,"A merciful wave was closing over it , healing her despair . "
Sadness,Relative's death.
Fear,"☁☾ &quot;Fear Can Keep Us Up All Night Long, but... F A I T H Makes One Fine Pillow&quot; ~unk  "
Joy,Eating my first candy cane of the season 
Sadness,"SHE was once considered one of the world 's most beautiful women , but yesterday every line etched on Britt Ekland 's face told a story of personal anguish . "
Fear,Before giving a seminar to a rather large audience.
Sadness,I wish I was in london so I could go to trafalgar square @Louis_Tomlinson I wish I could meet you all 
Sadness, yes . It seems she can never accept a childless marriage . We had a fight last night . 
Disgust,smh im really sad. the only basketball i have to look forward too is march madness????  
Joy,You gotta put some dish detergent in the tub so you can get dat bubble action
Joy,work then working out then homework  
Anger,"Brazil , for example , was miffed that the summit was n't scheduled for a date after inauguration of its new president next month ."
Fear,"When my son fell off the cot at the age of 5 months, I became very nervous and thought that it would cause defects in his head.  "
Joy,So excited to party party tomorrow night with one of my besties miss Emma Rose :) xxxx 
Fear,I saw the frightened horses on the edge of a steep drop . 
Fear,"I was physically assaulted and sexually abused about a year ago. Just the feeling that I might not get away intact, or even alive, produced Fear."
Sadness,After the fact that made me aShamed I felt Sadness.
Sadness,"lol can people people stop with the Arashi's FNS mic situation, ok we get the point. anyways, I still can't find TMR's perfs "
Sadness,@BanjiGirl I don't even know whats going on. Things have folded. 
Joy,"Pretty excited!  Orgelbau, Dillingen, was chosen (unanimously) to build the new organ for my church! "
Fear,"When I was feeding a premature baby (7 months), the baby chocked. This was when I was working in children's ward I thought I had killed the baby."
Fear,You're the reason to a lot of my devotion. @Drake
Disgust,Holy shit I just weighed myself for the first time since before college..  I put on 13 pounds in a semester.. Pure in myself
Sadness,At my brothers friends house doing nothing. This is what happens when I come back home 
Sadness, Totally not . Perhaps it's about our marriage . 
Neutral, Who won ? 
Sadness,School shootings need to stop.  I know there is no quick fix to this. But schools are supposed to be safe. 
Anger,"@RXKitten I did and they didn't really intrigue me.  Plus, the campaign ending was anti-climatic to the nth degree.  Uninstall game.  "
Surprise,"Today: eat, work on paper, work on lab, work on paper, finish lab, eat, finish paper.   "
Sadness,Sometimes i do wish i had black hair..it is much eaiser to find hair weave  . :(
Sadness,My dad made a campfire. We have chocolate and grahmcrackers but no marshmallows...what even is this. &lt;/33 
Joy,"So I'm sewing, walk downstairs to make a pot of coffee...and find Christmas decorating in full swing!!! Gotta love daughters! "
Surprise,"ok..dus de gouden verf van de action is stiekem zilver..goed om te weten, maar vertel het voortaan van tevoren.  "
Fear,"` South Africa must be worried how easily we did get through , and close to their line , because they know that Will Carling and Jeremy Guscott are amongst the quickest in the world . "
Sadness,Having some massive Busted sesh! Why the fuck did they ever break up! 
Fear,On the edge of slipping and winning... 
Surprise,Too fresh..came home to a new flat screen TV 
Neutral, Why ? 
Anger,There was really no reason why Star should be cross . 
Surprise,Car was just k9 searched. What the hell? Didn't find anything! 
Sadness,"` I am sad we have not been afforded the same welcome given to the Beirut hostages , "" he told a deeply moved audience at the AGM last month . "
Joy,"Last course, when I passed with good marks three subjects which I had previously failed."
Fear,"Goodbye, Farewell, So Long.... "
Fear, YOU A FUCK NIGGA; YOU Fear the fags CAUSE YOU Fear them GANGING UP ON YOU &amp; DESTROYIN WHAT YOU SLUTTED FOR. #HARD
Joy,"Hate trains just ran for one and missed it by a second, saw it drive away, now half hour wait for the next one oh "
Anger,"No lights, no WiFi, no fucking way of making my dinner. "
Anger,"She turned to Fran , faint annoyance crossing her face . "
Sadness, pour moi car je n'ai pas beaucoup de followers :'(   
Neutral, I won ’ t damage it . 
Joy," Wow sounds interesting ! Excuse me if I am being a bit nosy but , how old are you ? "
Fear,Don't you turn a blind eye! .. Change what's been programmed inside!!  
Sadness,Just realized that I'm allergic to my shampoo!! Great! 
Sadness,its prolly gonna happen in the morning too &gt;.&lt; ugh whatever idc anymore :/ 
Disgust,"I am sickened to now learn that the Government has acquiesced to the other EC leaders on this issue at the Edinburgh Summit and that , for the sake of subsidiarity , this directive has been dropped . "
Anger,"I experience this emotion quite often but the day I was most Anger was the day I got pulled up for something I had not done.  It happened during my school days, I had not spoken a word in class but the monitor had written my name on the board.  So I had a remark in my callender which I had to get signed by my parents.  This remark resulted in me being spanked."
Disgust,I gag in myself wenever i hear my parents say &quot;sexci&quot; =/ 
Sadness,"As he told Barbara afterwards , he had never felt more depressed . "
Surprise,Pizza Hut just delivered my pizza 20 minutes early AND it is one of the top five best pizzas I've ever had from there.  
Anger,"Oh , the food here really is bad . My soup was cold and meat , ur ... it was like leather . "
Sadness,the moment you realize you've lost the one person you always needed most but wouldn't admit it 
Joy,"Listening to Eternal by Joy Division. Sad, mournful and beautiful all mixed together. division #Ian Curtis"
Fear,"Je me fais stalker sur  par un mec de l'âge de mon père, je l'ai refusé en ami, mais il like tout ce que je fais en public "
Joy,"Anyway, time to settle in for a nice plane ride and lots of Russia I reading "
Sadness,"@mariiiiahhx3 my mo said im not allowed to get picked up from school tomorrow , because i didnt go today ): "
Sadness,@CaitlynXJesus8 love you to caitlyn.. So sad I have to miss switch I might die 
Joy,Homework for the rest of the night.....oh lol
Joy,solid workout at indoor!! Time to do hw half asleep!! #tired
Disgust,Its not  anymore. Take care of your wiley body hair. You shouldn't have been doing that shit in the first place. 
Anger,Wow I haven't had this rush of adrenalin in a while. 
Fear,@gilbhas lo gak takut pembunuh! Yang lo takutin adalah hobinya dia kalo lagi bete.. 
Joy,When my brother gave me a watch.
Neutral, OK . 
Fear,Wonder how almost a whole week at home will feel  
Fear,i'm discovering a band i missed from 15 years ago... wishing i hadn't been so sheltered growing up. 
Sadness,She looked into his eyes and saw terrible pain and inconsolable grief . 
Surprise,Some things can ruin your day real quick 
Fear,"you shouldn't domestic drones anyway. who ever heard of a drone attacking the wrong target? no one ever, that's who."
Joy,"I'm sure ill be sick next, these babies keep coughing &amp; sneezing on me.. "
Anger,"I just want to sleep, I'm in a bad mood right now. #Sadness"
Surprise,@Mr_RICH_Tycoon GOOD- we had family pictures that was whats up...all the kids for their grammy u know can't wait
Fear,"@tomharris5 I was goin to bring it, do u want it at corners coz u want it at the end of today then? #nomistakestoday #3morepoints"
Neutral, Which guy ? 
Joy,sore throat &amp; I feel sick to my stomach 
Surprise,Amir had his first comment at Valiant today!!  
Fear,"His voice was tetchy , but not alarmed . "
Sadness,My friend was badly hurt.
Joy,When my child was born.
Joy,"` I 'm delighted they left you the house , "" Julia told Margaret . "
Surprise,Cherche  de  pour  pour ce samedi soir !!!! &#xA;Des #idées ? MERCI !
Fear,"“@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less”"
Surprise,not a good idea to smoke before you narrate and act out a poem in class.. 
Sadness,I honestly spent wayyy too much money. Im such an impulse buyer....
Disgust, Newsnight. it is making me SICK hearing these rioters justifying their actions 
Anger,The surname of my brother was different from ours.  He often grinned at home and provoked others for the pleasure of it.  This made me Anger.
Anger,A teacher at my former secondary school forced my darling to marry him.  The girl tried to refuse but her parents would not leave her alone.
Anger,I came home one day and discovered that my sister had borrowed my car and had gotten into an accident with it. My entire front bumper was destroyed.
Anger,"Unfair and unjust attitude toward a person close to me, what I was the witness of, caused Anger in me."
Shame,""" What 's this , playing infant games still ? "" he demanded , and was gratified to see the flush of embarrassment in Tristram 's cheek . "
Fear,Leo demanded as he wrenched back to stare down into her almost terror-stricken face . 
Joy,"Letting Jesus take control of my emotions i.e., ill feeling."
Joy,my garage is full of a bunch of drunk people 
Fear,I have received no representations on that matter and I am not aware of any disquiet among the groups that the hon. Gentleman described . 
Joy,God clearly heard me when I asked Him yesterday to Surprise me this week! Grabe talaga love Niya. Im in tears! :&quot;&gt;
Joy,"It was Saturday, my duties were over for a few hours and I could at last be with the people I wanted to see."
Surprise,@LizzieMMoreno in the real world rapist don't use lube 
Sadness,When realizing that my girlfriend and myself in fact had started the process of breaking up.
Sadness,"A despondent Renault worker remarked , ` It seems to me that we came very close to something new . "" "
Sadness,Just received a brand new  but it seems to hate my SIM card.   support tells me they don't know whats wrong :( 
Joy,"I officially hate you, i guess. "
Fear,@sachaLan Free Expression As Revolution 
Joy,"Started my day with building a snowman, taking pictures of the freshly fallen snow, Michael Buble &amp; a cup of tea.  "
Sadness," Oh , my computer crashed again ! "
Sadness, it was horrible ! It was just one thing after another . 
Anger,ooh look at me i keep copy and pasting jokes off websites because i'm a dick. 
Sadness,A little bit of soap entered to my eye when I was taking a bath. :(
Anger,fuck going to school if it means i have to look at your face! 
Joy,3 hour drive to the airport. Wait in the airport for 2 hours then 3 hour plane ride. Followed by a hour drive home. #howilovetraveling
Anger,"mau diet curcol di twitter pasti gagal  yg tadi makan dikondangan,sekarang makan pecel lele #LOL ancur sudah diet ku #LOL"
Joy,Eating everything in my kitchen...hm must be that time on month again :/ 
Fear,He was concerned that the room must be left just as Durance would have wished . 
Joy,Great concert w @AVALONtheGroup tonight. Amazing crowd!!! See ya'll again tomorrow night! 
Joy,Looking forward to doing nothing this weekend apart from working @TheBodyShopUK 
Joy,But some of the younger dons were ecstatic about the election . 
Joy,@2FBS Tis down here. Worst city in NZ for it. Grass seed atm. Howling NE'er blowing it into the air. In Jan it'll be pine pollen 
Sadness,@inasar paris is a dream land!must be cold there.its almost mid of november AND ITS SO NOT COLD HERE! weather is still the same :-( 
Sadness," I know that , mom . But sometimes I'm just sad . "
Anger,"My Mum is so stingy that she put water in my Bacardi and coke, Just to save Barcadi. "
Surprise,@dragons1lk Danny is all excited and is going to pop in tomorrow when he is passing to score some more. Christmas budgeting is FUN 
Joy,Simplicity would make our lives so much better. Complicity would suck Joy out of your life. 
Joy,EnJoy your Friday morning people! 
