Emotion,Text
Anger,    西室泰三 ね 。 しっかり 覚え て おこ う ! 赤字 の 海外 の 子会社 を 買い取り 、 超 優良 企業 だっ た 東芝 と 日本郵政 を まで 傾け させ た 張本人 ね 。 本人 どう やっ て 社会的責任 とる ? 読み が 甘かっ た で は すまさ れ ない 。
Anger,    ん あ 〜! もう ほんと 腹立つ あて し が 君 の 好き で 甘い の わかっ た で やっ てる が ほんと 腹立つ 〜! そんな する なら もっと あざとか わいく お願い し て ほしい !!!
Anger,    更新 審査 の 窓口 の 数少ない ん だ よ 。 だ よ この
Anger,    もう少し 暖かく なら ない と 釣り に 行け ませ ん よ まじ で
Anger,    も この と 同じく 体重 が 0kg まで 落ち た あっ た けど その は 仕事 の 激務 も あっ て 食事 が 苦痛 で 悪循環 に 陥っ て 生き てる が し なかっ た 落ち着い て 食事 が 美味しいっ て 思っ た はほん と この世 の 全て の 食材 に 感謝 って 思っ た
Anger,    せっかく いい に 起き れ て いい に 支度 終わっ て 今日 は 0 限 間に合う と 思っ て 家で た のに 電車 が 倍 の かかる ん
Anger,    お前 が 詰めん こんな にこっち が 混ん でる ん だろ う が 詰めろ や ー
Anger,    ゆかちん アカ 晒さ れ た の ゆっ て た けど 、 関連 ? や そんな する ん わ !!
Anger,    今日 が 終われ ば 明日 は 休み
Anger,    間に合っ た 渋滞 嫌い
Anger,    . 遠足 日和 ~ 寝 せ ず に ママ 頑張っ た よ いっぱい 遊ん で 食べ て .
Anger,    は ぁぁぁぁぁぁぁ イライラ する お昼 は 0 食 カレー に しよ
Anger,    ひどい な 大丈夫 ?
Anger,    あや か の line が 過疎 って まーす
Anger,    最近 埼京線 や 山手線 で 緊急 一時停止 が 多 すぎる 〜 線路 立ち入り すん な よ
Anger,    改めて 思う けど line の 新 機能 絶対 要ら ない お気に入り し てる の に 出 て くる なら まだしも 0 番 に 出 て くる な 笑
Anger,    降り たい って 全力 で の ど 真ん中 に むかっ て ぶつかっ て き て 押し て くる の やめ て 、 痛い 。 たい 。 と は 通り抜け られ な 言っ て 常識 しら ない の かしら 、 この メタボ は
Anger,    歯医者 の 味 しか せ ん
Anger,    関節 刺さ れ た ー 蚊 が 憎い
Anger,    よかっ た 〜 〜 も 会い たい !!! 現場 かぶっ たら すぐさま リプ する
Anger,    は あー ? 幼女 勝負 じゃい by 高校 の に トッキュウジャー の ふりかけ 持っ て 行っ て た 幼女 ショタ
Anger,    早く 言っ て よ コンタクト 無駄 に なっ た
Anger,    空耳アワー で ストーンズ の ラフ ・ ジャスティス を 取りあげ て い た ので 、 久しぶり に ア・ビガー・バン を 聴こ う と 思っ たら 、 パソコン で 聴け ない な の な 。 つまんね 。 # 空耳アワー # rollingstones
Anger,    ヒロキ の せい だ
Anger,    ※ ネタ がっつり ミカアニ 描き たい
Anger,    金沢駅 に 自動改札 なんて いら ない ん だ よ
Anger,    は ? 事故 ? 嘘 おっしゃい う へ へ こそ お 会い し て やっ て 楽しみ
Anger,    岡山県 津山 鶴山公園 場所 とり 放置 さ れ た ブルーシート は 頂け ない 不粋 だ な 邪魔 で しか ない
Anger,    な ん です ;° ロ ° 可愛 。 バンビ 大好き な ん です ! ψ ・ ω ・ ψ 子鹿 は デザイン に も キャラクター として も 王者 。 またがる なら 男鹿 じゃなくて 小鹿 や 女鹿 でしょ う ね 。 に またがっ て 押さえつけ て 写真 を 撮る 言語道断 です 非常識 な 観光 客 に は ガンガン 注意 し ましょ う !
Anger,    探し て みる ー ! 知っ てる あいつ 自慢 し てきや がっ たくっ そ
Anger,    しお ねぇ ~ ねぇ 、 もっと 絡ん で よ 、 おこ だ よ 泣く よ 、 泣か ない よ 。 笑 もっと みまっ てる よ ? ありがとう ...
Anger,    喝 ~ が 無い いつも の テレビ の 流れ が ~
Anger,    だし バイト 帰っ て 来 ない って ばか に さわい で めっちゃ めんどい だ しっ っ しーく ん とこ 行っ て た も しーく ん も ぐらぃでなよ 親 も ? 友達 も めっちゃ はいっ て ない ? てい ぅ か ヒナタ に ・ ・ ・ に も めっちゃ キレ てる わ 笑笑
Anger,    母親 が 0 に も なっ て 、 ライブ なんか いっぱい いって ー ! って 朝 てる t - t
Anger,    フジテレビ 見れ ない !! なんで こんなに 長野 は 不便 な ん だ !、 ...
Anger,    アニエ が 昨日 ちょっと が 靴 込み で 身長 高い って を 抜く と 抱っこ し て き た 満更 で も ない
Anger,    今日 あっ て ね
Anger,    今日 も 仕事
Anger,    夜なべ は 大変 とても 綺麗 な 黒鶴 でし た も 0 に ステ 黒鶴 の 予定 頂い てる ので 頑張ろ う と 思い ます れいら の 白鶴 も めっさ すき な ので これから もお 写真 楽しみ に し て ます
Anger,    アクセ の 裏 セット 育て 始める と 戦闘力 が 全く 上がら なく なっ て 辛い けど 、 は 我慢 の
Anger,    当たら なかっ た ん です よ いい な 〜 嫉妬
Anger,    貰っ てる でしょ
Anger,    まじ で 忘れる ない よ
Anger,    写真 悪用 し て 、 嘘 の ツイート し て なりすまし てる だけ だ 、 ツイッター に 報告 し とい た
Anger,    昨日 は 大変 な 思い を し た きらら 姫 。 体調 が 心配 です 。 無理 せ ず に 。 ファン は 理解 し て いる よ 昨日 は も の の に 感情的 に なり 腹 が 立っ た が 飛び蹴り を し 、 とどめ に 兄貴 が とどめ を さす 。 冗談 です けど ^o^ 夜後 輩 姫 が 大変 だ と メール で 知り 黒霧 飲み ながら 感情的 に なっ た 。 無理 せ ず に
Anger,    自覚 しとる 何回 も 言わ れ たら ムカ つく よ なー
Anger,    写真 悪用 し て 、 嘘 の ツイート し て なりすまし てる だけ だ 、 ツイッター に 報告 し とい た
Anger,    写真 悪用 し て 、 嘘 の ツイート し て なりすまし てる だけ だ 、 ツイッター に 報告 し とい た
Anger,    汗だく ̄ ▽ ̄ ;
Anger,    東海地方 news な 0 放送 終了 って
Anger,    吐き出せ
Anger,    違 うの 髪型 で 注意 さ れ ちゃっ た さ 帰ら なきゃ 行け ない の
Anger,    おはよう ござい ます !
Anger,    喝 上手い 受験生 な ん だ ね 〜 が つく の が ね 〜 着火 剤 を 恵ん で ほしい ね 早く が つき ます に 〜 fireman
Anger,    まじ で やばい !! うどん屋 の ドア が 開く に 絶対 0 くらい 入っ て くる この 時期
Anger,    けもフレ 劇場版 は リアルフレンズ の 群れ として の 強 さ を 見せ て かばんちゃん アイコン の たつき 監督 を セルリアン 角川 救う ってか haha ha! fuckin shit !
Anger,    オタク に 真剣
Anger,    なんで !!!
Anger,    あなたに ゆとり を 持っ て 安全運転 とか ステッカー を 貼る 資格 は 無い
Anger,    必死 に 覚え て また やる
Anger,    せっかく の 予定 が ない 、 海 で 天 サロ し たかっ た けど 全然 海 日和 じゃ ない 。 。 色 の 黒 さ が 落ち着い て き ちゃっ た 焼き たかっ た のに
Anger,    こら
Anger,    最近 、 都市 、 高速道路 を 走る が 多い けど 。 ほんと 最近 、 運転 を 知ら ん 増え た な よく 事故 起こさ ない わ
Anger,    ん あ ??
Anger,    ... おいおい 、 誇大広告 に なら ない か サプリ 効果 の キャッチコピー は 慎重 な 表現 を 使わ ない と いけ ない よ
Anger,    、 本当に そんな 言う なら わざわざ ... って です よ ね 。 むしろ あき にこ の ストレス 増え てる に 気付け と いう か ... 人様 の 義母 を すみません ...。
Anger,    橋下 、 松井 、 吉村 維新 は 、 ムダ 、 民営化 と 言い ながら 、 にとって メリット の ある 、 市民 に 取っ たら デメリット に しか なら ない しか 遣り ませ ん 。 大阪 は 異常 です ...
Anger,    おはよう ござい ます テレビ 版 は ない が いい かも しれ ない です ね ...! 終わっ た の 繋がり の 悪さ に 怒り しか 残ら ない ...! 笑 スチブ の 魅力 は すごい ん です ね 〜! 残業 し て 身体 を 壊さ ない に お気 を つけ ください ね !
Anger,    エロ 垢 じゃ ない よ
Anger,    ドラ も ボロン し てる もう 行く しか ない ピックアップ なる は 存じ上げ ませ ん
Anger,    でも 気持ち わかる 笑 も 一昨日 くらい 深夜 に 一気に スト 後半 回収 し て 力尽き て 寝 た まだ 折り返し だ ね ... 頑張れ 頑張れ ありがとう〜 ! 明日 を 楽しみ に はりきっ て やっつけ て くる
Anger,    だから 0時 より うえ だ わ!
Anger,    なんで !! は だ よ !!
Anger,    盆 休み 副流煙 で 殺ら れ 朝 の 清清しい 空気 を 汚す 我が家 の 喫煙者 に対する 心 の 一句 早く 盆 休み 終われ
Anger,    日曜日 に 来る って な の 本家 だ 居 ない と いけ ない って な の ほんと ヤダ
Anger,    なんで 0時 に 寝 た のに 0時 半 に 起こさ れる ん です か
Anger,    ゴールデンウィーク だ って 自主 休講 し すぎ や
Anger,    こー ゆ ー 言っ てる が 当選 し たり し たら ほんとに 嫌 です よ ね
Anger,    ショタ と ショタジジイ で は 萌え ポイント が 全く 違う ので 一緒 に し ない で ほしい し 、 シエル や エヴァ な 美少年 と 、 のっぺり し た 体つき の かわいい 男児 を 、 ショタ で 括り に し ない で ほしい 。 ショタ と 美少年 について は 過激派 だ !!!!
Anger,    飛影 ずるい !
Anger,    キレ
Anger,    いらん もう 、 サイリウム も いらん
Anger,    wego な んで こん かっ た の
Anger,    何故 何時 も 日本 が 折れる ん だ 日本人 が そんな 望ん だ ? カズ が 何時 も 胸 に を あて 大きな 声 で 国歌 を 唄う 姿 て も 学ん で ない の か ? あの 姿 が 日本人 が 待ち望ん で い た 思い だ 。 『 折れる な 』 『 日本人 よ 胸 を 張れ 』
Anger,    会計 終わっ た で 予約 し て た cd の レシート 出し たら レシート は 一緒 に 出し て ください ね って 言わ れ た ね 予約 の は 予約 の バーコード の 紙 を に 出す と 逆 の 言わ れ たり し ます し 、 ややこしい です ...
Anger,    です よ ね
Anger,    こんな なら 最初 一緒 に いこ う って 言えばよかった しく !
Anger,    もう や だ !
Anger,    : ちなつ ん 呼び : ちな つんつん 呼ば れ : 玉袋 ? トプ 画 み て : 全体 見せろ 〜 最後 に 一言 : だ よ 〜 ビバラ 会え なかっ た まあ 楽しかっ た し いつか 会える よ ね これから も よろしく !
Anger,    ええええ めっちゃ 嬉しい ありがとう wwww する か わからん けど また 聴い て ほし ! ただ めっちゃ 逃げ られ た の は ww 帰り の 新幹線 で よむ わ 〜 ありがと 〜 ぴぃぃ
Anger,    バレ なきゃ いい じゃなくて 、 未成年 でしょ !
Anger,    笑 溢れる 内容 ちゃう やん け ! 笑
Anger,    は 、 0分 の 特急 いったん 東横 勝手 に ダイヤ 変えん なし 仕事 やし
Anger,    昨日 お腹 空き すぎ て 死に なっ て たら 藤田 が 助け て くれ た の ノリ で カラオケ 〜 地元 の 男の子 で 0 で 遊べん の 藤田 ぐらい 笑 デブデブ うるさい けど 普段 優しい 許す ありがとう
Anger,    一昨日 も だっ た じゃん ! って 言う と 昨日 は 無かっ た でしょ ? って 言わ れる 始末
Anger,    あっ っ つ !! 梅田 で 降りれ ば よかっ た
Anger,    ご機嫌 いか が かなん ? っていう の が スワワ の コール & レスポンス な ん だ ぞ 唐突 だ けど ありふれ た 悲しみ の 果て 難しく ない ?
Anger,    インスタ の なぎ ! け いっち 姫 の に な 天才 と かな 美少女 と かな たま に つけ たら って おもろい よ ~ ん って ... ぜったい 思っ た ある やろ ... なぁ 、 ... なぁ この この この にっ くい にっ くい やっぱし 姫 は 最上級 の 上の 上の な の だー なんでやねん
Anger,    待機 だ わ !!
Anger,    軽トラ の 自動車税 払っ て き た が 、 グリーン 重加算税 だ と ーカネモチ 優遇 、 貧乏人 に は キツ い 政府 や な
Anger,    も トイレ に 行っ て 帰っ て き たら 、 ヘルメット を 盗ま れ て た マジで ムカ つく 知ら ない の ヘルメット を 被る の 、 なら 嫌 な ん だ けど な ~
Anger,    あんた が 過ぎる ん よ !! 笑 最悪 や わ 笑
Anger,    も 横アリ 行っ て に 会い たい
Anger,    ドラゴンズ 喝 を いただき た
Anger,    ほとんど 私服 な のに 惟信 制服 どう し た
Anger,    楽しかっ た ね ~ ありがとう~ か 笑っ て た だろ 、 面白かっ た でしょ だけ 撮る の は やっ てる ヘアアレ いい よ やっ たげる ~
Anger,    セホロペ は 悪夢 だ が 、 あの 一緒 に 来 た コンちゃん は ガンバ の 補強 の でも 相当 の 成功 な ので 、 と なっ て は あの も いい 思い出 ......... な ない だろ !
Anger,    なんで うちの猫 って イヤフォン 噛む の ? 大切 に し て た のに 〜
Anger,    おい
Anger,    ま ー 本当に 大きな ステージ に 立てる が 決まっ て 嬉しい 来 て くれ ない と おこっ っ
Anger,    えー 。 。 。 消す の 鬼 早 !! 通り で モンスト なかっ た 訳 です な www に も ある と イベント 重なっ たり し たら も もって なる ね 。 。 楽しい ん だ けど さ ...
Anger,    です よ ね
Anger,    許さ ない
Anger,    え ~ -_-; 只 、 近辺 諸 外国勢力 や 解放 同盟 勢力 同和利権 巣窟 に し にっぽん人 の 頑張り を シナ 朝鮮 な やる気 の 無い ばかり の 雇用 枠 に すり替え 散々 好き に さ せ た 挙げ句 水の泡 に し た 元凶 同和利権 癒着 横道 自民党 創価 迄 抱き込み 国民 に ヘイト で 外国勢力 に を 使う ...
Anger,    そんな 言わ ない の 可愛 すぎ
Anger,    キラッと ひらめい た
Anger,    だ よ ね 人間性 を 疑う よ
Anger,    が 中の人 と は 言え かっこよく 0 つ 出して こい 言う た ねん 戦略 勝ち や ... 中身 めっちゃ に なる ... 企業 の 企み を 感じる
Anger,    だ〜〜 〜 れ が おかゆ ぴじゃわしゃあ 固形 に は なら ん
Anger,    めっちゃ 話す
Anger,    音ゲー に 集中 でき ない !!!!!
Anger,    なんで 人いん だ よ
Anger,    人身事故 で 一番 腹立っ た の は 、 最終目的地 に 行く に は バス 乗ら な アカン ねん けど クッソ 混ん で て 乗れん し バス 代 が 出 ない 、 一服 し て たら すごく お トイレ 行き たく なっ て き た
Anger,    梅園 昴 と お見合い できる 世界 だ よ おはよう
Anger,    いえ ば 0 期 はじまる にあたって 前提 として おそ カラ 付き合っ て ない とか 言っ て た の 付き合っ て た
Anger,    ちょっと 〜!! 華ちゃん ! 何それ 。 。 可愛い 許す お 食事 の 皆様 、 ごめんなさい # フクロモモンガ # ミニアニマル # ハンドメイド # ポーチ # お出かけ バッグ # ハムスター # シマリス # あ ず の 裁縫箱
Anger,    おはよう ござい ます こ 何様 の つもり な ん ね
Anger,    お祝い って で ケノン 購入 に られる かも だ 脇 は 徹底的 に
Anger,    小池 旋風 とか 言う で ない 今日 より 明日 が いい と 、 いう ふう に し たい ! そのため に しがらみ の ない 政治 って 意味 が 解らん って が し たい だけ でしょ # 小池百合子
Anger,    ちょっぴり 愚痴 を 全て の 高齢者 が と は 言わ ない が ...... 仕事 を し て い なけれ ば は ある ... 混む って 朝一番 で 病院 行か なく たって いい じゃ ない か 病院 に も よる が 一般的 に 逆 に 朝が 番 混ん でる と 思う ある の に 朝 うるさい ん だ よ の 婆さん の です
Anger,    今日 朝礼 な ん だ けど 話す が ない 永遠 と 手下 の で も してやろ う か しない
Anger,    かお グッチ ~ おはよう ござい ます ね ~ ビックリ です よ ね 色んな が いる twitter の 世界 です 色んな ある と 思い ます が 最低限 の ルール は 守っ て 欲しい です よ ね ^ ^ 本人 の 謝罪 も 無い し 謝る なら し ない か ! こんな 今日 も よろしくお願いします ^ ^
Anger,    風邪 。 喉 痛 ぇ 。 。 固形 物 食べ れ ない わ 必殺 ウィダーインゼリー と 薬 。 明日 勤 だ 治ら なきゃ 困る 。
Anger,    0 は 流石に 仙台 まで 行け ませ ん が 明日 は 現地 参戦 し ます 風邪 気味 体調 は 気合い で 治す
Anger,    目力 すご 笑 気合い 入り た ! 笑
Anger,    己 の 欲望 に 忠実 www 「 まだ 死ね ない ! ドンヒラ を 見る まで は ! 死ね ないっ !!」
Anger,    ビッチ お姉さん かわいい だろ
Anger,    ぱん இ _ இ え !? 嫌がらせ さ れ た の !? え 、 許せん やん な そんな する ヤツ 最低 や な !!!!
Anger,    よし 、 三連休 満喫 する ぞ
Anger,    こんなに 天気 良い の に 午後 急降下 する なんて 信じ られ ん
Anger,    仕事 に対する 情報 は ちゃんと 教え て ね ! 仕事 に関する 考え方 は 日々 変わっ て いく けど 仕事 の ルール は そんな 簡単 に 変わる もんじゃ ない ん だ の 言っ た に 責任 持っ て ね !
Anger,    な のに 、 頭髪検査 の に この 髪の毛 は ね 〜 と チクチク 言わ れ 続け 、 卒業後 に 写真 は 郵送 で 返っ て き た
Anger,    学校 終わり は 、 ぬ セラピー へ
Anger,    もしかして 休み の 人間 な の !?!?!?! 許せ ない
Anger,    で 三田駅 行く らしい ん だ けど 当然 交通費 は 出る よ な 学校 側 へ の 怒り
Anger,    ガチャ 白猫 は 出 ない テニス は 出 ない 黒猫 も 出 ない は よ ぱにぱに 出して ←
Anger,    なんで こんなに モヤモヤ し なく いけ ない の
Anger,    おはよう ござい ます ♪♪ 今日 また バイト です ! 旦那さん は gw 休み に 入っ て ます が ... は 今日 勤 です !
Anger,    とりあえず こんな です ばくさん は もう 引き た 。 は いい として えりぽん le が 無い ん です が
Anger,    可愛い の ! 綺麗 な の ! もう !
Anger,    おは よー 、 早い ね ! 休み は 0 だ ねぇ もっと 休み が 欲しい と 切実 に 願う
Anger,    帰り たい 〜
Anger,    や だー こころ ん 可愛い けど や だー
Anger,    シックスラウンジ
Anger,    ソフトバンク ・ 五十嵐 、 オリックス・ 若月 が 死球 で 一触即発 !? スポーツ報知 - yahoo!ニュース ... ほんま コイツ 五十嵐 大 っ 嫌い や わ
Anger,    コム 美しかっ た なぁー 。 スニーカー の だろ ? ボール に 入っ て に 来 た 、 ハシゴ に 乗っ てる 写真 撮っ てる い た な 始まる に スタッフ が わざわざ 注意 喚起 し て た のに 。 そして を タグ 付け し て 載せる なんて ・ ・ の で 撮っ て たおじ だっ た # 水曜日のカンパネラ
Anger,    カバン 持っ てる だけ でも 肩 疲れる って の に ねー !
Anger,    お つかれ っす リベンジ 行き たい な
Anger,    待っ て wwww 誤解 可愛い !! 元々 あの 曲 結構 好きだから 嬉し み ̆ ω ̆ が 、 頑張れ !???!?
Anger,    0 年間 ファン やっ て て 、 0 周年 だ って ファンクラブ に 届く の 辛い 。 会員 し とけ ば よかっ た
Anger,    → 【 大阪 】 自民 ・ 竹本 氏 陣営 の 選挙運動員 再逮捕 abc news 関西 ニュース ...
Anger,    個人的 満員電車 で イラッと する 瞬間 第一位 が 変わり た の 肩に 手首 おい て スマホ 操作 する 朝 おこ
Anger,    あの 民進 乗っ取り リベラル 排除 で の 主犯格 ・ ・ ・ 小沢 小池 前原 そして に 連なる 旧 民進 議員 の 全て が 、 アベ 自民党 の 工作員 な の は ほぼ 間違い 無し でしょ う ゞ `' 、
Anger,    全然 全く 消せ て ない です
